state_code,year,race,origin,sex,age_group,population,is_projection
AL,2023,white,non-hisp,m,0-4,93832,0
AL,2023,white,non-hisp,f,0-4,93832,0
AL,2023,white,non-hisp,m,5-9,97068,0
AL,2023,white,non-hisp,f,5-9,97068,0
AL,2023,white,non-hisp,m,10-14,103539,0
AL,2023,white,non-hisp,f,10-14,103539,0
AL,2023,white,non-hisp,m,15-19,103539,0
AL,2023,white,non-hisp,f,15-19,103539,0
AL,2023,white,non-hisp,m,20-24,106774,0
AL,2023,white,non-hisp,f,20-24,106774,0
AL,2023,white,non-hisp,m,25-29,113245,0
AL,2023,white,non-hisp,f,25-29,113245,0
AL,2023,white,non-hisp,m,30-34,113245,0
AL,2023,white,non-hisp,f,30-34,113245,0
AL,2023,white,non-hisp,m,35-39,110010,0
AL,2023,white,non-hisp,f,35-39,110010,0
AL,2023,white,non-hisp,m,40-44,101921,0
AL,2023,white,non-hisp,f,40-44,101921,0
AL,2023,white,non-hisp,m,45-49,97068,0
AL,2023,white,non-hisp,f,45-49,97068,0
AL,2023,white,non-hisp,m,50-54,103539,0
AL,2023,white,non-hisp,f,50-54,103539,0
AL,2023,white,non-hisp,m,55-59,108392,0
AL,2023,white,non-hisp,f,55-59,108392,0
AL,2023,white,non-hisp,m,60-64,103539,0
AL,2023,white,non-hisp,f,60-64,103539,0
AL,2023,white,non-hisp,m,65-69,87361,0
AL,2023,white,non-hisp,f,65-69,87361,0
AL,2023,white,non-hisp,m,70-74,72801,0
AL,2023,white,non-hisp,f,70-74,72801,0
AL,2023,white,non-hisp,m,75-79,51769,0
AL,2023,white,non-hisp,f,75-79,51769,0
AL,2023,white,non-hisp,m,80-84,25885,0
AL,2023,white,non-hisp,f,80-84,38827,0
AL,2023,white,non-hisp,m,85+,27179,0
AL,2023,white,non-hisp,f,85+,40768,0
AL,2023,black,non-hisp,m,0-4,37522,0
AL,2023,black,non-hisp,f,0-4,37522,0
AL,2023,black,non-hisp,m,5-9,38816,0
AL,2023,black,non-hisp,f,5-9,38816,0
AL,2023,black,non-hisp,m,10-14,41404,0
AL,2023,black,non-hisp,f,10-14,41404,0
AL,2023,black,non-hisp,m,15-19,41404,0
AL,2023,black,non-hisp,f,15-19,41404,0
AL,2023,black,non-hisp,m,20-24,42698,0
AL,2023,black,non-hisp,f,20-24,42698,0
AL,2023,black,non-hisp,m,25-29,45286,0
AL,2023,black,non-hisp,f,25-29,45286,0
AL,2023,black,non-hisp,m,30-34,45286,0
AL,2023,black,non-hisp,f,30-34,45286,0
AL,2023,black,non-hisp,m,35-39,43992,0
AL,2023,black,non-hisp,f,35-39,43992,0
AL,2023,black,non-hisp,m,40-44,40757,0
AL,2023,black,non-hisp,f,40-44,40757,0
AL,2023,black,non-hisp,m,45-49,38816,0
AL,2023,black,non-hisp,f,45-49,38816,0
AL,2023,black,non-hisp,m,50-54,41404,0
AL,2023,black,non-hisp,f,50-54,41404,0
AL,2023,black,non-hisp,m,55-59,43345,0
AL,2023,black,non-hisp,f,55-59,43345,0
AL,2023,black,non-hisp,m,60-64,41404,0
AL,2023,black,non-hisp,f,60-64,41404,0
AL,2023,black,non-hisp,m,65-69,34935,0
AL,2023,black,non-hisp,f,65-69,34935,0
AL,2023,black,non-hisp,m,70-74,29112,0
AL,2023,black,non-hisp,f,70-74,29112,0
AL,2023,black,non-hisp,m,75-79,20702,0
AL,2023,black,non-hisp,f,75-79,20702,0
AL,2023,black,non-hisp,m,80-84,10351,0
AL,2023,black,non-hisp,f,80-84,15527,0
AL,2023,black,non-hisp,m,85+,10869,0
AL,2023,black,non-hisp,f,85+,16303,0
AL,2023,asian,non-hisp,m,0-4,2229,0
AL,2023,asian,non-hisp,f,0-4,2229,0
AL,2023,asian,non-hisp,m,5-9,2306,0
AL,2023,asian,non-hisp,f,5-9,2306,0
AL,2023,asian,non-hisp,m,10-14,2460,0
AL,2023,asian,non-hisp,f,10-14,2460,0
AL,2023,asian,non-hisp,m,15-19,2460,0
AL,2023,asian,non-hisp,f,15-19,2460,0
AL,2023,asian,non-hisp,m,20-24,2536,0
AL,2023,asian,non-hisp,f,20-24,2536,0
AL,2023,asian,non-hisp,m,25-29,2690,0
AL,2023,asian,non-hisp,f,25-29,2690,0
AL,2023,asian,non-hisp,m,30-34,2690,0
AL,2023,asian,non-hisp,f,30-34,2690,0
AL,2023,asian,non-hisp,m,35-39,2613,0
AL,2023,asian,non-hisp,f,35-39,2613,0
